Milliseconds,Seconds,Latitude,Lat Degree,Lat Minute,Lat Second,Longitude,Long Degree,Long Minute,Long Second,Altitude,Speed,AcclX,AcclY,AcclZ,GyroX,GyroY,GyroZ,Course,Heading
0,0,49.2434253,49,14,36.33108,-121.8875131,-121,-53,-15.04716,674.266,0.332,6.563549161,3.913669065,4.050359712,-0.102236422,-1.040468584,0.932907348,40.4,39.4
1061,1,49.2434262,49,14,36.33432,-121.8875142,-121,-53,-15.05112,674.284,0.288,5.230215827,3.176258993,7.082733813,-0.042598509,0.320553781,-0.153354633,45,42
2122,2,49.2434255,49,14,36.3318,-121.8875139,-121,-53,-15.05004,674.32,0.144,3.896882494,2.438848921,10.11510791,-0.493077742,-0.490947817,0.013844515,41.7,43.7
3024,3,49.2434266,49,14,36.33576,-121.887516,-121,-53,-15.0576,674.405,0.364,4.167865707,1.352517986,10.21822542,-0.299254526,0.01171459,-0.072417465,45.7,47.7
4015,4,49.2434252,49,14,36.33072,-121.8875204,-121,-53,-15.07344,674.514,0.285,9.112709832,-0.290167866,2.793764988,0.086261981,-0.03514377,-0.055378062,40.8,39.8
5005,5,49.2434241,49,14,36.32676,-121.8875196,-121,-53,-15.07056,674.634,0.13,9.129496403,-1.184652278,3.019184652,0.273695421,-0.135250266,0.155484558,42.5,43.5
6050,6,49.2434224,49,14,36.32064,-121.8875194,-121,-53,-15.06984,674.742,0.269,9.374100719,-3.60911271,1.779376499,0.341853035,0.143769968,0.085197018,39.5,40.5
7040,7,49.2434168,49,14,36.30048,-121.8875224,-121,-53,-15.08064,674.691,0.508,9.709832134,0.263788969,-0.143884892,-2.961661342,-1.350372737,-1.037273695,45.7,47.7
8041,8,49.2434149,49,14,36.29364,-121.8875162,-121,-53,-15.05832,674.541,0.502,5.199040767,0.748201439,8.779376499,0.074547391,-0.045793397,0.051118211,42.7,42.7
9004,9,49.2434144,49,14,36.29184,-121.8875193,-121,-53,-15.06948,674.484,0.054,9.081534772,-1.1558753,3.525179856,-0.997870075,0.111821086,-0.440894569,43.9,44.9
10010,10,49.2434143,49,14,36.29148,-121.8875209,-121,-53,-15.07524,674.078,0.159,8.534772182,-1.057553957,4.983213429,0.177848775,-0.030883919,0.107561235,40,39
11000,11,49.2434162,49,14,36.29832,-121.8875261,-121,-53,-15.09396,673.735,0.406,9.477218225,-0.925659472,2.165467626,0.072417465,0.004259851,-0.03514377,44.3,46.3
12045,12,49.2434195,49,14,36.3102,-121.8875295,-121,-53,-15.1062,673.094,0.275,9.405275779,-1.057553957,2.517985612,1.177848775,-0.036208733,0.242811502,45.2,48.2
13046,13,49.2434214,49,14,36.31704,-121.887534,-121,-53,-15.1224,672.673,0.358,9.508393285,-0.119904077,2.338129496,0.096911608,0.014909478,-0.15228967,39.3,42.3
14009,14,49.2434216,49,14,36.31776,-121.8875344,-121,-53,-15.12384,672.433,0.266,9.757793765,0.402877698,1.273381295,-0.599574015,-0.083067093,-0.303514377,43.5,42.5
15054,15,49.2434195,49,14,36.3102,-121.887536,-121,-53,-15.1296,671.848,0.039,9.081534772,-0.057553957,3.362110312,-0.063897764,0.066027689,0.033013845,39.8,39.8
16020,16,49.2434188,49,14,36.30768,-121.887538,-121,-53,-15.1368,671.617,0.22,9.460431655,-0.503597122,2.146282974,0.207667732,-0.017039404,0.089456869,43.4,40.4
17009,17,49.2434186,49,14,36.30696,-121.8875336,-121,-53,-15.12096,671.668,0.065,9.57793765,-0.438848921,1.784172662,0.019169329,0.075612354,0.134185304,42.3,43.3
18040,18,49.2434225,49,14,36.321,-121.8875352,-121,-53,-15.12672,671.18,0.323,9.270983213,-1.045563549,3.12470024,0.272630458,-0.052183174,0.102236422,41.5,39.5
19014,19,49.243423,49,14,36.3228,-121.887534,-121,-53,-15.1224,670.861,0.106,9.441247002,-0.856115108,2.153477218,0.713525027,-0.335463259,0.333333333,43.7,45.7
20020,20,49.2434207,49,14,36.31452,-121.8875342,-121,-53,-15.12312,670.691,0.163,9.338129496,0.019184652,1.48441247,-1.243876464,0.034078807,-0.413205538,45.8,46.8
21010,21,49.2434216,49,14,36.31776,-121.8875322,-121,-53,-15.11592,671.006,0.159,9.314148681,-0.393285372,3.163069544,0.218317359,0.088391906,0.200212993,43.5,40.5
22014,22,49.2434256,49,14,36.33216,-121.8875356,-121,-53,-15.12816,670.393,0.362,9.522781775,-1.141486811,2.517985612,0.076677316,0.009584665,0.05857295,43.9,41.9
23029,23,49.2434259,49,14,36.33324,-121.8875343,-121,-53,-15.12348,669.992,0.256,9.551558753,-1.074340528,2.3117506,-0.002129925,0.002129925,-0.030883919,41.3,44.3
24035,24,49.2434274,49,14,36.33864,-121.8875315,-121,-53,-15.1134,670.892,0.211,9.458033573,-0.942446043,2.410071942,0.048988285,-0.015974441,0.002129925,45.2,47.2
25025,25,49.243426,49,14,36.3336,-121.8875279,-121,-53,-15.10044,671.41,0.223,9.472422062,-0.731414868,2.388489209,0.212992545,-0.07028754,0.080937167,40.5,38.5
26015,26,49.2434233,49,14,36.32388,-121.8875251,-121,-53,-15.09036,671.363,0.401,9.774580336,0.064748201,1.287769784,-0.746538871,0.1171459,-0.204472843,42,40
27005,27,49.2434232,49,14,36.32352,-121.8875237,-121,-53,-15.08532,671.246,0.052,9.270983213,-0.398081535,3.395683453,0.219382322,-0.015974441,0.063897764,42.8,40.8
28009,28,49.2434232,49,14,36.32352,-121.8875286,-121,-53,-15.10296,671.042,0.414,9.350119904,-0.592326139,2.836930456,-1.930777423,-0.947816826,-0.6485623,43.7,43.7
29024,29,49.2434232,49,14,36.32352,-121.8875224,-121,-53,-15.08064,671.119,0.429,7.769784173,0.426858513,7.107913669,0.033013845,0.069222577,0.001064963,41.2,42.2
30030,30,49.2434221,49,14,36.31956,-121.8875204,-121,-53,-15.07344,671.237,0.121,9.635491607,1.057553957,1.105515588,-0.271565495,0.110756124,-0.026624068,41.6,38.6
